"Label (Grouping)","Arlington County, Virginia!!Total!!Estimate","Arlington County, Virginia!!Total!!Margin of Error","Arlington County, Virginia!!Married-couple family household!!Estimate","Arlington County, Virginia!!Married-couple family household!!Margin of Error","Arlington County, Virginia!!Male householder, no spouse present, family household!!Estimate","Arlington County, Virginia!!Male householder, no spouse present, family household!!Margin of Error","Arlington County, Virginia!!Female householder, no spouse present, family household!!Estimate","Arlington County, Virginia!!Female householder, no spouse present, family household!!Margin of Error","Arlington County, Virginia!!Nonfamily household!!Estimate","Arlington County, Virginia!!Nonfamily household!!Margin of Error"
"HOUSEHOLDS","","","","","","","","","",""
"    Total households","112,504","±1,938","38,932","±2,344","2,752","±973","6,102","±1,306","64,718","±2,599"
"    Average household size","2.05","±0.03","3.09","±0.08","3.14","±0.52","2.66","±0.27","1.33","±0.04"
"FAMILIES","","","","","","","","","",""
"    Total families","47,786","±2,203","38,932","±2,344","2,752","±973","6,102","±1,306","(X)","(X)"
"    Average family size","3.01","±0.08","3.08","±0.08","2.98","±0.50","2.54","±0.25","(X)","(X)"
"AGE OF OWN CHILDREN","","","","","","","","","",""
"    Households with own children of the householder under 18 years","22,242","±1,873","17,502","±1,539","1,302","±705","3,438","±1,045","(X)","(X)"
"        Under 6 years only","28.9%","±4.8","33.0%","±4.9","2.4%","±4.4","18.3%","±13.0","(X)","(X)"
"        Under 6 years and 6 to 17 years","11.1%","±3.6","12.0%","±3.9","12.7%","±20.1","6.0%","±7.5","(X)","(X)"
"        6 to 17 years only","60.0%","±5.0","55.0%","±5.2","84.9%","±20.5","75.8%","±14.6","(X)","(X)"
"Total households","112,504","±1,938","38,932","±2,344","2,752","±973","6,102","±1,306","64,718","±2,599"
"    SELECTED HOUSEHOLDS BY TYPE","","","","","","","","","",""
"        Households with one or more people under 18 years","20.2%","±1.6","45.5%","±3.6","52.9%","±19.5","57.7%","±10.0","0.2%","±0.3"
"        Households with one or more people 60 years and over","23.5%","±1.1","28.1%","±2.6","30.6%","±18.6","24.4%","±8.3","20.3%","±2.3"
"        Households with one or more people 65 years and over","18.1%","±0.8","(X)","(X)","(X)","(X)","(X)","(X)","15.4%","±2.2"
"        Householder living alone","43.5%","±2.3","(X)","(X)","(X)","(X)","(X)","(X)","75.7%","±2.8"
"            65 years and over","8.3%","±1.3","(X)","(X)","(X)","(X)","(X)","(X)","14.4%","±2.2"
"    UNITS IN STRUCTURE","","","","","","","","","",""
"        1-unit structures","35.6%","±2.0","64.7%","±3.5","40.5%","±22.2","37.9%","±11.9","17.7%","±2.3"
"        2-or-more-unit structures","64.3%","±2.0","35.3%","±3.5","59.5%","±22.2","62.1%","±11.9","82.2%","±2.3"
"        Mobile homes and all other types of units","0.0%","±0.1","0.0%","±0.5","0.0%","±6.7","0.0%","±3.1","0.1%","±0.1"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","40.9%","±2.2","64.1%","±3.9","30.7%","±19.2","44.4%","±11.2","27.0%","±2.9"
"        Renter-occupied housing units","59.1%","±2.2","35.9%","±3.9","69.3%","±19.2","55.6%","±11.2","73.0%","±2.9"
