"Label (Grouping)","Virginia!!Total!!Estimate","Virginia!!Total!!Margin of Error","Virginia!!Married-couple family household!!Estimate","Virginia!!Married-couple family household!!Margin of Error","Virginia!!Male householder, no spouse present, family household!!Estimate","Virginia!!Male householder, no spouse present, family household!!Margin of Error","Virginia!!Female householder, no spouse present, family household!!Estimate","Virginia!!Female householder, no spouse present, family household!!Margin of Error","Virginia!!Nonfamily household!!Estimate","Virginia!!Nonfamily household!!Margin of Error"
"HOUSEHOLDS","","","","","","","","","",""
"    Total households","3,402,670","±10,363","1,665,817","±17,378","158,755","±7,514","393,221","±11,462","1,184,877","±15,464"
"    Average household size","2.49","±0.01","3.16","±0.02","3.15","±0.07","3.17","±0.05","1.24","±0.01"
"FAMILIES","","","","","","","","","",""
"    Total families","2,217,793","±16,279","1,665,817","±17,378","158,755","±7,514","393,221","±11,462","(X)","(X)"
"    Average family size","3.07","±0.02","3.13","±0.02","2.78","±0.07","2.97","±0.04","(X)","(X)"
"AGE OF OWN CHILDREN","","","","","","","","","",""
"    Households with own children of the householder under 18 years","908,272","±12,677","637,348","±11,405","76,068","±5,270","194,856","±9,177","(X)","(X)"
"        Under 6 years only","21.4%","±0.8","22.8%","±0.9","23.8%","±3.3","16.0%","±1.8","(X)","(X)"
"        Under 6 years and 6 to 17 years","19.2%","±0.8","20.5%","±0.9","14.1%","±2.8","16.8%","±1.8","(X)","(X)"
"        6 to 17 years only","59.4%","±1.0","56.6%","±1.1","62.1%","±3.4","67.3%","±2.2","(X)","(X)"
"Total households","3,402,670","±10,363","1,665,817","±17,378","158,755","±7,514","393,221","±11,462","1,184,877","±15,464"
"    SELECTED HOUSEHOLDS BY TYPE","","","","","","","","","",""
"        Households with one or more people under 18 years","29.8%","±0.4","41.1%","±0.6","56.0%","±2.3","59.5%","±1.5","0.7%","±0.1"
"        Households with one or more people 60 years and over","41.2%","±0.3","42.0%","±0.5","33.9%","±2.0","32.8%","±1.2","43.9%","±0.7"
"        Households with one or more people 65 years and over","31.3%","±0.2","(X)","(X)","(X)","(X)","(X)","(X)","34.5%","±0.6"
"        Householder living alone","28.3%","±0.5","(X)","(X)","(X)","(X)","(X)","(X)","81.3%","±0.7"
"            65 years and over","11.0%","±0.3","(X)","(X)","(X)","(X)","(X)","(X)","31.7%","±0.6"
"    UNITS IN STRUCTURE","","","","","","","","","",""
"        1-unit structures","73.6%","±0.4","87.9%","±0.5","72.5%","±2.4","67.8%","±1.3","55.7%","±0.8"
"        2-or-more-unit structures","22.5%","±0.3","9.1%","±0.4","21.2%","±2.3","26.5%","±1.3","40.1%","±0.8"
"        Mobile homes and all other types of units","3.9%","±0.2","3.0%","±0.2","6.3%","±1.1","5.7%","±0.6","4.2%","±0.3"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","67.8%","±0.4","83.3%","±0.5","60.7%","±2.6","50.9%","±1.5","52.6%","±0.8"
"        Renter-occupied housing units","32.2%","±0.4","16.7%","±0.5","39.3%","±2.6","49.1%","±1.5","47.4%","±0.8"
