"Label (Grouping)","Herndon town, Virginia!!Total!!Estimate","Herndon town, Virginia!!Total!!Margin of Error","Herndon town, Virginia!!Married-couple family household!!Estimate","Herndon town, Virginia!!Married-couple family household!!Margin of Error","Herndon town, Virginia!!Male householder, no spouse present, family household!!Estimate","Herndon town, Virginia!!Male householder, no spouse present, family household!!Margin of Error","Herndon town, Virginia!!Female householder, no spouse present, family household!!Estimate","Herndon town, Virginia!!Female householder, no spouse present, family household!!Margin of Error","Herndon town, Virginia!!Nonfamily household!!Estimate","Herndon town, Virginia!!Nonfamily household!!Margin of Error"
"HOUSEHOLDS","","","","","","","","","",""
"    Total households","7,914","±334","4,584","±348","407","±118","756","±176","2,167","±312"
"    Average household size","3.10","±0.13","3.70","±0.19","3.83","±0.78","3.83","±0.39","1.45","±0.10"
"FAMILIES","","","","","","","","","",""
"    Total families","5,747","±303","4,584","±348","407","±118","756","±176","(X)","(X)"
"    Average family size","3.53","±0.16","3.57","±0.18","3.29","±0.50","3.44","±0.35","(X)","(X)"
"AGE OF OWN CHILDREN","","","","","","","","","",""
"    Households with own children of the householder under 18 years","2,742","±258","2,147","±269","146","±87","449","±163","(X)","(X)"
"        Under 6 years only","26.5%","±6.1","28.4%","±7.6","6.2%","±10.8","24.3%","±20.5","(X)","(X)"
"        Under 6 years and 6 to 17 years","23.2%","±5.2","22.6%","±5.2","37.7%","±29.2","21.2%","±16.4","(X)","(X)"
"        6 to 17 years only","50.3%","±6.4","49.0%","±7.9","56.2%","±28.9","54.6%","±19.7","(X)","(X)"
"Total households","7,914","±334","4,584","±348","407","±118","756","±176","2,167","±312"
"    SELECTED HOUSEHOLDS BY TYPE","","","","","","","","","",""
"        Households with one or more people under 18 years","38.2%","±3.1","50.5%","±4.6","52.6%","±16.9","64.2%","±12.6","0.4%","±0.7"
"        Households with one or more people 60 years and over","32.3%","±3.2","31.7%","±5.3","54.3%","±19.4","25.9%","±11.1","31.7%","±6.1"
"        Households with one or more people 65 year and over","22.5%","±2.6","(X)","(X)","(X)","(X)","(X)","(X)","24.4%","±5.1"
"        Householder living alone","18.9%","±2.4","(X)","(X)","(X)","(X)","(X)","(X)","68.9%","±7.2"
"            65 years and over","5.3%","±1.1","(X)","(X)","(X)","(X)","(X)","(X)","19.4%","±4.2"
"    UNITS IN STRUCTURE","","","","","","","","","",""
"        1-unit structures","70.2%","±2.6","82.2%","±3.3","64.9%","±17.6","53.3%","±14.4","51.8%","±6.5"
"        2-or-more-unit structures","29.7%","±2.6","17.7%","±3.3","35.1%","±17.6","46.7%","±14.4","48.2%","±6.5"
"        Mobile homes and all other types of units","0.1%","±0.3","0.1%","±0.4","0.0%","±9.4","0.0%","±5.1","0.0%","±1.8"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","63.4%","±3.5","70.5%","±5.5","40.0%","±17.0","50.7%","±13.3","57.1%","±6.3"
"        Renter-occupied housing units","36.6%","±3.5","29.5%","±5.5","60.0%","±17.0","49.3%","±13.3","42.9%","±6.3"
