Five-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,Location,HighPayJobs,AvgWage,InterestRate,TotalPermits,Permits_lag1,ln_HPI,ln_HighPayJobs,ln_Permits_lag1,Entity,Time_FE
20170,2022,10.36,943.42,313.19,258.39,Herndon,48000,145000,1.6833333333333333,43000,39388.0,6.849511570540646,10.778956289890028,10.581216480367694,20170_Herndon,2022
20170,2023,7.42,1013.39,336.42,277.55,Herndon,52000,148000,5.024166666666667,38000,43000.0,6.921056425221265,10.858998997563564,10.668955394675699,20170_Herndon,2023
20170,2024,6.09,1075.12,356.91,294.46,Herndon,56000,151000,5.1433333333333335,35000,38000.0,6.980187562238808,10.933106969717286,10.545341438708522,20170_Herndon,2024
20171,2022,5.03,931.88,304.09,242.57,Herndon,48000,145000,1.6833333333333333,43000,39388.0,6.837204051031101,10.778956289890028,10.581216480367694,20171_Herndon,2022
20171,2023,2.18,952.18,310.72,247.85,Herndon,52000,148000,5.024166666666667,38000,43000.0,6.8587540925490735,10.858998997563564,10.668955394675699,20171_Herndon,2023
20171,2024,11.05,1057.43,345.06,275.25,Herndon,56000,151000,5.1433333333333335,35000,38000.0,6.963596714876095,10.933106969717286,10.545341438708522,20171_Herndon,2024
20191,2022,2.42,894.23,301.61,261.05,Herndon,48000,145000,1.6833333333333333,43000,39388.0,6.795963012778596,10.778956289890028,10.581216480367694,20191_Herndon,2022
20191,2023,11.17,994.13,335.3,290.21,Herndon,52000,148000,5.024166666666667,38000,43000.0,6.901867982813249,10.858998997563564,10.668955394675699,20191_Herndon,2023
20191,2024,21.86,1211.4,408.58,353.64,Herndon,56000,151000,5.1433333333333335,35000,38000.0,7.0995319945468465,10.933106969717286,10.545341438708522,20191_Herndon,2024
20194,2022,0.36,517.58,288.48,241.56,Herndon,48000,145000,1.6833333333333333,43000,39388.0,6.2491641025638,10.778956289890028,10.581216480367694,20194_Herndon,2022
20194,2024,,623.23,347.36,290.86,Herndon,56000,151000,5.1433333333333335,35000,38000.0,6.4349156320371925,10.933106969717286,10.545341438708522,20194_Herndon,2024
